word,normalized_word,source,is_trusted,is_common,is_active,layer,include_in_runtime,include_as_candidate,review_state
অইউরোপীয়,অইউরোপীয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অইতনায়,অইতনায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অইয়া,অইয়া,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অইয়ে,অইয়ে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অইয়্যা,অইয়্যা,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অইয়্যাওতো,অইয়্যাওতো,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অউপজাতীয়,অউপজাতীয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অওতায়,অওতায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অওয়নে,অওয়নে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অওয়ামী,অওয়ামী,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অওয়ার,অওয়ার,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংকুজানপাড়া,অংকুজানপাড়া,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংতংপাড়ায়,অংতংপাড়ায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংথেয়ায়াইচিং,অংথেয়ায়াইচিং,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংথোয়াইচিং,অংথোয়াইচিং,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংনংতায়ে,অংনংতায়ে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংয়ের,অংয়ের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংশগুলো,অংশগুলো,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংশগুলোয়,অংশগুলোয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংশগ্রহণছাড়া,অংশগ্রহণছাড়া,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংশজুড়ে,অংশজুড়ে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংশজুড়েই,অংশজুড়েই,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংশটায়,অংশটায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অংশদ্বয়ের,অংশদ্বয়ের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
